Y,X1,X2,X3,X4
311.898918,2.454866495,-84.53063838,297.4061685,-0.834479836
500.0443813,2.774116101,347.586947,379.4994519,-0.131827191
715.1718204,2.504617149,946.5670403,940.4776665,-0.039126406
482.4776329,2.466723193,74.22222438,406.6224863,0.440310698
663.9836349,2.615601901,-32.93773386,979.4980384,0.419690009
565.7554517,2.907702383,-15.13304327,1008.509073,-0.028257685
535.8416458,2.611786262,341.3871848,385.7380268,0.674292349
496.6889734,2.468976068,-251.2623317,1008.129613,0.342368167
461.1833368,2.477887071,185.0019475,419.7148948,-0.134572036
409.6590232,2.470014151,90.69141398,890.7180753,-0.983646368
551.6410141,2.551170762,-294.990967,884.0374036,0.430333452
419.1942072,2.485015473,-95.89284507,306.0773481,0.169470245
746.1232279,2.774279786,865.4788393,1018.931577,-1.023985762
448.7479365,2.491848855,284.2404371,408.4659022,-0.913914994
534.0509888,2.379497675,62.90795458,923.4855727,0.115629406
498.5662528,2.498304532,-87.99623604,948.792831,0.146699959
468.8368646,2.888854931,-79.00187162,385.4902146,-0.045101827
496.1669251,2.43982109,-25.9274627,400.1550535,0.636624035
731.6718865,2.675429225,934.916179,913.0644072,-0.110491838
468.9916942,2.480991957,44.63469584,264.0102215,0.438975058
456.8164254,2.398787344,60.11173126,437.1139977,0.098338994
474.5957251,2.616291796,-44.98604884,966.010341,-0.100548416
454.5923932,2.404342038,-292.8671619,865.9983901,0.334830888
679.7910106,2.559251009,886.7677227,863.6355067,-0.886505408
210.7273662,3.005222735,-356.4396813,887.5737985,-1.12714357
693.6974392,2.336121766,-17.87418199,930.8911462,0.693739767
61.16327115,2.740371372,-267.5236279,927.3398529,-1.102333885
387.7202385,2.54769706,50.10401118,375.5276436,-0.96658673
428.5181862,2.324782127,99.23122226,398.914027,-0.058186278
404.649624,2.728763086,-156.4535863,337.6854578,-0.149738165
126.4028294,2.420342441,-231.3573324,861.9604505,-0.831067201
619.5226222,2.473839568,-55.14458587,1005.902609,0.407621893
414.2095209,2.341100503,65.92867714,290.4247509,0.106768667
576.3217209,2.936673032,188.6490661,352.9527604,0.65835663
694.2397771,2.819212227,-64.20350414,922.3880115,0.435582271
245.1127459,2.581347003,-321.8290495,880.3067778,-0.178153354
360.4346342,2.662521283,-221.1104489,957.130334,-0.144981362
86.21455648,2.907811213,-331.342422,983.6674767,-0.825589069
430.6168234,2.717232475,49.96444187,939.6564456,-0.865911796
298.7801196,2.427923687,-276.105689,926.0847219,-0.055745372
507.8668306,2.437213802,-34.4490079,1054.546777,0.135121273
420.0776171,2.452426343,206.3003118,387.5307669,-1.107846773
536.3356594,2.789772312,-30.2430383,869.5109346,-0.019463768
286.2660918,2.892718992,-172.4474215,401.2101659,-0.865310887
582.7642622,2.691822037,-2.081132255,960.7561572,0.150819489
428.0675754,2.525641617,-162.1586314,449.5916668,0.06684812
234.4773673,2.323236788,-96.14850452,1022.230177,-1.166450597
472.8275416,2.709507619,203.6877643,279.4041037,-0.096861532
535.3963628,2.655549949,-81.14432199,431.8306115,0.67201625
685.558658,2.35983307,8.981179649,1018.936431,0.574489385
486.0065474,2.367275098,294.0331605,294.0953527,0.588701309
695.8314946,2.318910493,807.1893713,1020.074418,0.017465293
270.8669038,2.431895997,-87.85731779,349.1249431,-1.092363383
400.2538379,2.411468011,-4.88541324,282.7449272,-0.055016288
272.4097777,2.338882958,-88.03185883,259.3111774,-1.079672393
687.6612025,2.336947177,869.5053154,1039.22227,-0.846393306
347.2567845,2.567856021,-310.6938043,865.1714942,0.058520783
281.1759123,2.369763913,-325.493152,1029.817096,0.03727383
170.3870941,2.477342822,-185.5896898,385.7701184,-1.037309234
254.6918615,2.317530802,-116.5905093,406.349842,-0.811285603
362.0892047,2.350542022,56.8846186,304.3374395,-0.846864958
419.9544522,2.357031254,-9.92128387,434.9426969,-0.117731064
311.4677423,2.649197962,-67.14401912,389.6451973,-1.150874002
500.8575265,2.583665456,-34.68422154,434.2397714,0.456010605
212.1465683,2.450956757,-334.7915658,974.9474322,-1.01743016
326.529315,2.916390302,-112.2982352,389.9552934,-1.024871928
423.7447926,2.541166617,225.138428,323.5426442,-0.981378483
597.3470271,2.654735292,90.18303965,991.5061084,0.088939406
435.8370671,2.734961879,182.7796637,271.8494105,-1.070312032
474.6509434,2.323489478,26.2282414,284.3029713,0.643728165
296.2894013,2.587869317,-333.8635868,963.091691,-0.027999281
469.0247002,2.508976222,-34.67409868,342.2369911,0.457813874
193.6331168,2.521330109,-348.2835497,898.1569296,-0.840853726
490.954406,2.633699241,-59.58498069,966.3778339,-0.018442614
338.1578633,2.544527353,-30.62096194,1004.032922,-0.993203832
738.6256997,2.686246644,67.25408414,945.2911071,0.592554826
